id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars,entry_dt,entry_quarter,entry_year
2756,59365,2023-03-07 16:00:00+00:00,59366,2023-03-07 16:30:00+00:00,BUY,1835.61,1831.7964761260353,1831.7964761260353,1843.2370477479294,0.1,-38.835238739646414,-381.3523873964641,-1.0,SL,2023Q1,2023,1,2023-03-07 16:00:00+00:00,2023Q1,2023
2757,59370,2023-03-07 18:30:00+00:00,59376,2023-03-07 21:30:00+00:00,BUY,1818.28,1812.6145577833342,1812.6145577833342,1829.6108844333312,0.1,-57.354422166657244,-566.5442216665724,-1.0,SL,2023Q1,2023,6,2023-03-07 18:30:00+00:00,2023Q1,2023
2758,59378,2023-03-07 22:30:00+00:00,59389,2023-03-08 05:00:00+00:00,BUY,1814.82,1809.7930953914429,1809.7930953914429,1824.873809217114,0.1,-50.96904608557061,-502.6904608557061,-1.0,SL,2023Q1,2023,11,2023-03-07 22:30:00+00:00,2023Q1,2023
2759,59392,2023-03-08 06:30:00+00:00,59412,2023-03-08 16:30:00+00:00,BUY,1810.81,1817.387502867867,1807.5212485660666,1817.387502867867,0.1,65.07502867866997,657.7502867866997,1.9374767665513595,TP,2023Q1,2023,20,2023-03-08 06:30:00+00:00,2023Q1,2023
2760,59434,2023-03-09 04:30:00+00:00,59451,2023-03-09 13:00:00+00:00,BUY,1813.32,1819.7310433509983,1810.1144783245006,1819.7310433509983,0.1,63.410433509983974,641.1043350998398,1.9358880749985523,TP,2023Q1,2023,17,2023-03-09 04:30:00+00:00,2023Q1,2023
2761,59460,2023-03-09 17:30:00+00:00,59466,2023-03-09 20:30:00+00:00,SELL,1830.54,1835.057948246073,1835.057948246073,1821.5041035078539,0.1,-45.87948246073047,-451.7948246073047,-1.0,SL,2023Q1,2023,6,2023-03-09 17:30:00+00:00,2023Q1,2023
2762,59468,2023-03-09 21:30:00+00:00,59491,2023-03-10 10:00:00+00:00,SELL,1831.87,1836.6694718521173,1836.6694718521173,1822.271056295765,0.1,-48.694718521174494,-479.9471852117449,-1.0,SL,2023Q1,2023,23,2023-03-09 21:30:00+00:00,2023Q1,2023
2763,59492,2023-03-10 10:30:00+00:00,59500,2023-03-10 14:30:00+00:00,SELL,1833.43,1837.2485734380527,1837.2485734380527,1825.7928531238947,0.1,-38.88573438052681,-381.8573438052681,-1.0,SL,2023Q1,2023,8,2023-03-10 10:30:00+00:00,2023Q1,2023
2764,59507,2023-03-10 18:00:00+00:00,59516,2023-03-10 22:30:00+00:00,SELL,1862.95,1870.0208741289398,1870.0208741289398,1848.8082517421205,0.1,-71.4087412893975,-707.0874128939749,-1.0,SL,2023Q1,2023,9,2023-03-10 18:00:00+00:00,2023Q1,2023
2765,59518,2023-03-10 23:30:00+00:00,59519,2023-03-13 00:00:00+00:00,SELL,1867.91,1881.37,1874.4348171982347,1854.860365603531,0.1,-135.29999999999808,-1345.999999999981,-2.0516110747727394,SL_GAP_OPEN_PESSIMISTIC,2023Q1,2023,1,2023-03-10 23:30:00+00:00,2023Q1,2023
2766,59522,2023-03-13 01:30:00+00:00,59542,2023-03-13 11:30:00+00:00,SELL,1883.16,1892.277997292763,1892.277997292763,1864.9240054144743,0.1,-91.87997292762994,-911.7997292762993,-1.0,SL,2023Q1,2023,20,2023-03-13 01:30:00+00:00,2023Q1,2023
2767,59543,2023-03-13 12:00:00+00:00,59547,2023-03-13 14:00:00+00:00,SELL,1885.73,1893.8418970606183,1893.8418970606183,1869.5062058787635,0.1,-81.81897060618276,-811.1897060618276,-1.0,SL,2023Q1,2023,4,2023-03-13 12:00:00+00:00,2023Q1,2023
2768,59551,2023-03-13 16:00:00+00:00,59551,2023-03-13 16:00:00+00:00,SELL,1896.52,1906.5131002260434,1906.5131002260434,1876.5337995479133,0.1,-100.63100226043453,-999.3100226043452,-1.0,SL,2023Q1,2023,0,2023-03-13 16:00:00+00:00,2023Q1,2023
2769,59555,2023-03-13 18:00:00+00:00,59638,2023-03-15 13:30:00+00:00,SELL,1904.78,1915.5853891752402,1915.5853891752402,1883.1692216495196,0.1,-108.7538917524018,-1080.538917524018,-1.0,SL,2023Q1,2023,83,2023-03-13 18:00:00+00:00,2023Q1,2023
2770,59642,2023-03-15 15:30:00+00:00,59647,2023-03-15 18:00:00+00:00,SELL,1923.78,1932.1287340218566,1932.1287340218566,1907.0825319562869,0.1,-84.18734021856672,-834.8734021856671,-1.0,SL,2023Q1,2023,5,2023-03-15 15:30:00+00:00,2023Q1,2023
2771,59649,2023-03-15 19:00:00+00:00,59652,2023-03-15 20:30:00+00:00,SELL,1933.46,1914.7264265989309,1942.8267867005345,1914.7264265989309,0.1,186.6357340106918,1873.357340106918,1.97774666243247,TP,2023Q1,2023,3,2023-03-15 19:00:00+00:00,2023Q1,2023
