id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars
173,31917,2020-10-16 18:00:00,31944,2020-10-19 08:30:00,SELL,1902.22,1908.132142857143,1908.132142857143,1884.4835714285712,0.1,-59.821428571429536,-591.2142857142953,-1.0,SL,2020Q4,2020,27
174,32133,2020-10-23 11:00:00,32144,2020-10-23 16:30:00,BUY,1908.91,1905.4996428571428,1905.4996428571428,1915.7307142857144,0.1,-34.80357142857265,-341.0357142857265,-1.0,SL,2020Q4,2020,11
175,32183,2020-10-26 12:00:00,32227,2020-10-27 11:00:00,BUY,1902.8,1898.6396428571427,1898.6396428571427,1911.1207142857145,0.1,-42.30357142857265,-416.0357142857265,-1.0,SL,2020Q4,2020,44
176,32268,2020-10-28 08:30:00,32268,2020-10-28 08:30:00,BUY,1909.78,1906.9107142857142,1906.9107142857142,1915.5185714285712,0.1,-29.39285714285752,-286.9285714285752,-1.0,SL,2020Q4,2020,0
177,32508,2020-11-04 14:30:00,32512,2020-11-04 16:30:00,BUY,1907.43,1898.454642857143,1898.454642857143,1925.3807142857142,0.1,-90.45357142857092,-897.5357142857092,-1.0,SL,2020Q4,2020,4
178,32787,2020-11-12 16:00:00,32832,2020-11-13 15:30:00,BUY,1877.27,1889.9942857142858,1870.9078571428572,1889.9942857142858,0.1,126.5428571428577,1272.428571428577,1.96735147140481,TP,2020Q4,2020,45
179,32939,2020-11-17 23:00:00,32967,2020-11-18 14:00:00,SELL,1881.09,1866.4328571428568,1885.9757142857143,1866.4328571428568,0.1,145.87142857143073,1465.7142857143072,2.9434995675987325,TP,2020Q4,2020,28
180,33028,2020-11-19 21:30:00,33063,2020-11-20 16:00:00,BUY,1865.94,1878.0214285714287,1859.8992857142857,1878.0214285714287,0.1,120.1142857142866,1208.142857142866,1.9656341320864992,TP,2020Q4,2020,35
181,33064,2020-11-20 16:30:00,33068,2020-11-20 18:30:00,BUY,1877.59,1872.2617857142857,1872.2617857142857,1888.2464285714284,0.1,-53.98214285714239,-532.8214285714239,-1.0,SL,2020Q4,2020,4
182,33281,2020-11-27 14:00:00,33283,2020-11-27 15:00:00,SELL,1806.19,1794.5125000000003,1810.0825,1794.5125000000003,0.1,116.07499999999781,1167.7499999999782,2.9293375394321752,TP,2020Q4,2020,2
183,33284,2020-11-27 15:30:00,33284,2020-11-27 15:30:00,SELL,1793.99,1779.2621428571429,1798.8992857142857,1779.2621428571429,0.1,146.57857142857148,1472.7857142857147,2.9437670348587006,TP,2020Q4,2020,0
