id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars,entry_dt,entry_quarter
3075,56838,2022-11-25 10:00:00,56856,2022-11-25 19:00:00,SELL,1751.48,1755.0789285714286,1755.0789285714286,1744.2821428571428,0.1,-36.68928571428587,-359.8928571428587,-1.0,SL,2022Q4,2022,18,2022-11-25 10:00:00,2022Q4
3076,56865,2022-11-28 03:30:00,56875,2022-11-28 08:30:00,SELL,1748.7,1753.0489285714286,1753.0489285714286,1740.002142857143,0.1,-44.18928571428587,-434.8928571428587,-1.0,SL,2022Q4,2022,10,2022-11-28 03:30:00,2022Q4
3077,56880,2022-11-28 11:00:00,56887,2022-11-28 14:30:00,BUY,1759.45,1755.5060714285714,1755.5060714285714,1767.3378571428573,0.1,-40.139285714286146,-394.39285714286143,-1.0,SL,2022Q4,2022,7,2022-11-28 11:00:00,2022Q4
3078,56891,2022-11-28 16:30:00,56924,2022-11-29 10:00:00,SELL,1750.01,1755.6392857142857,1755.6392857142857,1738.7514285714285,0.1,-56.99285714285743,-562.9285714285743,-1.0,SL,2022Q4,2022,33,2022-11-28 16:30:00,2022Q4
3079,56939,2022-11-29 17:30:00,56940,2022-11-29 18:00:00,BUY,1757.05,1751.2867857142858,1751.2867857142858,1768.5764285714283,0.1,-58.33214285714185,-576.3214285714184,-1.0,SL,2022Q4,2022,1,2022-11-29 17:30:00,2022Q4
3080,56971,2022-11-30 10:30:00,56974,2022-11-30 12:00:00,BUY,1756.66,1762.557142857143,1753.7114285714288,1762.557142857143,0.1,58.27142857142853,589.7142857142853,1.9304306672977536,TP,2022Q4,2022,3,2022-11-30 10:30:00,2022Q4
3081,56975,2022-11-30 12:30:00,56981,2022-11-30 15:30:00,BUY,1760.14,1756.8282142857142,1756.8282142857142,1766.7635714285716,0.1,-33.817857142858614,-331.1785714285861,-1.0,SL,2022Q4,2022,6,2022-11-30 12:30:00,2022Q4
3082,56991,2022-11-30 20:30:00,56991,2022-11-30 20:30:00,SELL,1746.58,1753.6471428571429,1753.6471428571429,1732.4457142857143,0.1,-71.37142857142926,-706.7142857142926,-1.0,SL,2022Q4,2022,0,2022-11-30 20:30:00,2022Q4
3083,56992,2022-11-30 21:00:00,57001,2022-12-01 02:30:00,BUY,1760.56,1777.5142857142857,1752.0828571428572,1777.5142857142857,0.1,168.8428571428579,1695.4285714285788,1.9754303860939593,TP,2022Q4,2022,9,2022-11-30 21:00:00,2022Q4
3084,57002,2022-12-01 03:00:00,57028,2022-12-01 16:00:00,BUY,1778.57,1792.667857142857,1771.5210714285713,1792.667857142857,0.1,140.2785714285704,1409.7857142857038,1.970501178949449,TP,2022Q4,2022,26,2022-12-01 03:00:00,2022Q4
3085,57029,2022-12-01 16:30:00,57073,2022-12-02 15:30:00,BUY,1799.55,1793.6764285714285,1793.6764285714285,1811.2971428571427,0.1,-59.43571428571495,-587.3571428571495,-1.0,SL,2022Q4,2022,44,2022-12-01 16:30:00,2022Q4
3086,57074,2022-12-02 16:00:00,57078,2022-12-02 18:00:00,SELL,1785.46,1790.8203571428571,1790.8203571428571,1774.7392857142859,0.1,-54.303571428570834,-536.0357142857083,-1.0,SL,2022Q4,2022,4,2022-12-02 16:00:00,2022Q4
3087,57086,2022-12-02 22:00:00,57120,2022-12-05 16:00:00,BUY,1798.69,1790.767857142857,1790.767857142857,1814.5342857142857,0.1,-79.92142857142944,-792.2142857142944,-1.0,SL,2022Q4,2022,34,2022-12-02 22:00:00,2022Q4
3088,57122,2022-12-05 17:00:00,57125,2022-12-05 18:30:00,SELL,1783.67,1773.204285714286,1788.902857142857,1773.204285714286,0.1,103.95714285714057,1046.5714285714057,1.9603987068965507,TP,2022Q4,2022,3,2022-12-05 17:00:00,2022Q4
3089,57126,2022-12-05 19:00:00,57162,2022-12-06 14:00:00,SELL,1773.26,1779.9992857142856,1779.9992857142856,1759.7814285714287,0.1,-68.09285714285643,-673.9285714285643,-1.0,SL,2022Q4,2022,36,2022-12-05 19:00:00,2022Q4
3090,57169,2022-12-06 17:30:00,57210,2022-12-07 15:00:00,SELL,1772.15,1777.1064285714288,1777.1064285714288,1762.237142857143,0.1,-50.2642857142866,-495.642857142866,-1.0,SL,2022Q4,2022,41,2022-12-06 17:30:00,2022Q4
