cohort,quarter,event_count,mean_raw_reversion_atr,mean_excess_reversion_atr,median_excess_reversion_atr,positive_excess_pct,median_cost_hurdle_atr,worst5pct_mean_excess_atr,positive_mean_excess
H226-C2,2020Q4,23,-0.30972966249968736,-0.39972415501700587,-0.2853522356475544,47.82608695652174,0.09379090194927545,-4.609777712633642,False
H226-C2,2021Q1,15,0.21470351916588873,0.13090400127053634,0.08518630648721413,53.333333333333336,0.08096393710188461,-3.922078423491946,True
H226-C2,2021Q2,20,-0.22304585567541477,-0.33978359130005403,-0.7098886566159375,35.0,0.12104933085851399,-4.535489608297768,False
H226-C2,2021Q3,25,0.04492275346292729,-0.07394037781311286,0.19182612074739336,52.0,0.12134829665157956,-3.6163654604536726,False
H226-C2,2021Q4,21,0.6532502477982194,0.5316904393905898,0.2625243675000272,66.66666666666666,0.12764822812533672,-2.7774038509495487,True
H226-C2,2022Q1,21,0.7585590468456948,0.6573764333499613,0.09565496127092507,57.14285714285714,0.09977338961457964,-2.4779547578022267,True
H226-C2,2022Q2,15,0.22255326484466137,0.12557646639823922,-0.11113133150641025,46.666666666666664,0.09205784896092943,-2.8471079303004507,True
H226-C2,2022Q3,20,-0.1497046240658845,-0.25786325616688555,-0.2942739375524849,40.0,0.1018283530442434,-4.601466454265624,False
H226-C2,2022Q4,25,0.2254775479672468,0.12534300569724563,0.16881692665499576,56.00000000000001,0.09898564087538558,-2.4161286457274986,True
H226-C2,2023Q1,20,-0.11017218377619584,-0.20342656637773254,-0.18907568500033986,50.0,0.09158241204964263,-6.7871831087077465,False
H226-C2,2023Q2,12,0.4097933033560655,0.3091412797499698,0.5694506186756033,58.333333333333336,0.09995050011875431,-4.001340966313295,True
H226-C2,2023Q3,12,0.06650699136754068,-0.08160587228172878,-0.19629812230420673,33.33333333333333,0.14432790254093047,-2.6382934516074563,False
H226-C2,2023Q4,23,0.13984841229570708,0.03005889873197218,-0.7424792617260877,30.434782608695656,0.11051031831695157,-2.896251923477341,True
H226-C2,2024Q1,15,-0.30298427459081073,-0.413972197487876,-0.04099568326790967,46.666666666666664,0.10057127517753729,-3.496143266648172,False
H226-C2,2024Q2,19,-0.5799284202393867,-0.6481056961372756,-1.0465640251631732,42.10526315789473,0.06812438102919005,-3.701546159723168,False
H226-C2,2024Q3,16,0.806823437974652,0.7298260525558292,0.6765420407146512,68.75,0.07378880353744549,-1.358757480245313,True
H226-C2,2024Q4,17,-0.27803096008716494,-0.35259671580523716,-0.9097713407632259,41.17647058823529,0.07355690890404525,-3.597392576088446,False
H226-C2,2025Q1,13,0.686321746416097,0.6100694227783371,1.1475708515410785,61.53846153846154,0.07984821783541282,-5.5904712847178395,True
H226-C2,2025Q2,32,0.06049362768155542,0.018698345213095047,0.25304370519782016,53.125,0.04102840147306204,-7.406014626549073,True
H226-C2,2025Q3,20,0.5703895991451227,0.5057524743964976,1.1997727790560038,65.0,0.06367977276107653,-5.851169027270945,True
H226-C2,2025Q4,21,0.2549977234052345,0.2255043355406537,0.40022230066239284,57.14285714285714,0.030190947176900768,-3.974611938419273,True
H226-C2,2026Q1,23,-0.3541433325215168,-0.37108187961368855,-0.5671081684590006,47.82608695652174,0.016503057665986972,-4.8894591759919654,False
H226-C2,2026Q2,30,1.0350927445590778,1.0099108648281274,0.7025614550615841,60.0,0.024581497808644687,-3.7464785853542626,True
H226-C3,2018Q2,27,-0.02169294211575676,-0.2356900573864895,-0.04524823303930531,48.148148148148145,0.2068490653225386,-4.349107888842964,False
H226-C3,2018Q3,33,-0.30742906011514604,-0.5142402897091123,-0.4261860093445601,39.39393939393939,0.19382350621709069,-4.739403960110943,False
H226-C3,2018Q4,33,-0.0570109593067143,-0.27256107374849925,0.049327081888391605,51.515151515151516,0.2068310500333331,-3.8427848675181906,False
H226-C3,2019Q1,24,0.21192292606655097,-0.010116353451396387,0.401835986631608,58.333333333333336,0.22545426311064765,-5.21496565640007,False
H226-C3,2019Q2,23,0.03731416236448,-0.17810159474325013,-0.24623943570437154,43.47826086956522,0.22387182810143214,-3.4335334031695783,False
H226-C3,2019Q3,30,0.4684700457633947,0.35152885619908875,0.45445123469143145,60.0,0.1062401988579512,-3.622248109557776,True
H226-C3,2019Q4,28,0.060279944175766584,-0.09498492463843043,0.2608282799619476,53.57142857142857,0.16992303176793985,-4.102959582683676,False
H226-C3,2020Q1,32,0.40626912060917664,0.28746395460238333,-0.1045261316498402,50.0,0.12812143744678786,-4.063626868659888,True
H226-C3,2020Q2,20,0.004881341608844414,-0.0668859603178236,-0.2592016362315037,35.0,0.06459206459824035,-1.8241214988108394,False
H226-C3,2020Q3,26,0.1704135811597904,0.09101561634946333,0.21798079358764955,61.53846153846154,0.06648346402563102,-5.51116560892409,True
H226-C3,2020Q4,28,-0.5677238792442864,-0.6577331726595561,-0.34385020565485847,46.42857142857143,0.09483039386543327,-5.317371591260732,False
H226-C3,2021Q1,17,-0.00559311808344007,-0.09031691687302784,-0.2631327955811319,47.05882352941176,0.0790751020456793,-3.922078423491946,False
H226-C3,2021Q2,25,0.04002279589917802,-0.07330822505334388,-0.47632742088092783,40.0,0.11953472330977317,-3.9055880673330226,False
H226-C3,2021Q3,27,-0.19536607409308201,-0.315969925561398,-0.4062854351969497,44.44444444444444,0.1203644676234591,-3.657994264851383,False
H226-C3,2021Q4,26,0.5575683920340804,0.43814256774671967,0.44049366103684817,61.53846153846154,0.1262896521580938,-2.7816731058888164,True
H226-C3,2022Q1,27,0.41746405780244805,0.3114379691359255,0.30353511677819994,59.25925925925925,0.1010034786813103,-6.835137965493686,True
H226-C3,2022Q2,23,0.18969578445253732,0.09487845375674583,-0.11113133150641025,47.82608695652174,0.09378901421101456,-2.50567363338589,True
H226-C3,2022Q3,27,-0.1893381515969097,-0.2952231112949262,-0.27931484207996543,40.74074074074074,0.10700739379583037,-3.7563691220505735,False
H226-C3,2022Q4,26,0.13558404721540154,0.03367732954546609,-0.03778537740713495,50.0,0.09934963323957206,-2.4161286457274986,True
H226-C3,2023Q1,25,0.07201649884433942,-0.021371838097480465,0.14191058778365773,56.00000000000001,0.09475862276702923,-5.015247252343478,False
H226-C3,2023Q2,18,0.42630720771688657,0.32588001395598754,0.3997753008684439,61.111111111111114,0.09639250167925204,-4.001340966313295,True
H226-C3,2023Q3,14,0.415183919125362,0.27122334802153997,0.14003013234500955,50.0,0.1381444190083585,-2.6382934516074563,True
H226-C3,2023Q4,27,0.20257384696464112,0.09133637796230865,-0.6376952683445934,37.03703703703704,0.11452468027375722,-2.896251923477341,True
H226-C3,2024Q1,19,-0.18302833270218402,-0.28893480518614517,-0.19006649032512965,47.368421052631575,0.09970701131810675,-3.496143266648172,False
H226-C3,2024Q2,18,-0.7307718700068586,-0.7964091170932206,-1.2879498616631788,38.88888888888889,0.06459218292488134,-3.701546159723168,False
H226-C3,2024Q3,22,0.5077438742811724,0.4356318895895781,0.6823240350093717,63.63636363636363,0.0706880608659206,-3.3802366603173604,True
H226-C3,2024Q4,22,-0.466433421306167,-0.5394669412813252,-0.9514775213359608,40.909090909090914,0.0733948866622708,-5.275438278475785,False
H226-C3,2025Q1,24,0.4117534000134666,0.34192779011610447,-0.19848998935055617,50.0,0.07134767550887311,-5.408440163873507,True
H226-C3,2025Q2,37,-0.0005588336211200297,-0.042091070048489006,-0.07225520521885265,48.64864864864865,0.04134813941948982,-7.406014626549073,False
H226-C3,2025Q3,29,0.6488591279746743,0.5879455411910258,0.8869069075262839,62.06896551724138,0.06116699091021143,-4.842285549008379,True
H226-C3,2025Q4,32,-0.21192589240883686,-0.24102718590656846,-0.014460031806564473,50.0,0.02782458928483942,-7.074721396146181,False
H226-C3,2026Q1,32,0.04825743539535232,0.03061555687056919,-0.4630365049937859,43.75,0.017323591710312516,-4.8894591759919654,True
H226-C3,2026Q2,30,0.9948902916658241,0.9697956271645718,0.7025614550615841,60.0,0.02508461883859632,-3.7464785853542626,True
H226-C4,2018Q2,20,0.3269166596769673,0.11536304348601659,0.06982946508432389,55.00000000000001,0.205781982986827,-5.57546060176452,True
H226-C4,2018Q3,30,-0.206893881440458,-0.41629710081983706,-0.371317969196285,40.0,0.19347181975970085,-4.739403960110943,False
H226-C4,2018Q4,28,-0.04202127104274748,-0.25889856749328966,-0.053486985353925154,50.0,0.20661897682986535,-3.8427848675181906,False
H226-C4,2019Q1,22,0.14070756663109252,-0.08545787527157213,0.3674034774900778,54.54545454545454,0.23336390963979595,-5.21496565640007,False
