datetime,year,direction,entry_price,exit_price,sl_price,tp_price,lot,net_pnl_usd,balance_after
2020-04-14 17:00:00,2020,BUY,1717.675,1745.1035714285715,1707.1392857142857,1745.1035714285715,0.03,81.17571428571468,1536.531785714283
2020-04-16 16:00:00,2020,BUY,1731.895,1723.182142857143,1723.232142857143,1754.3292857142858,0.04,-36.331428571428184,1500.2003571428547
2020-05-13 16:00:00,2020,BUY,1711.975,1705.9857142857143,1706.0357142857142,1727.1464285714285,0.06,-38.155714285713856,1462.0446428571408
2020-05-28 09:00:00,2020,SELL,1711.695,1720.3242857142857,1720.2742857142857,1689.4835714285714,0.04,-35.99714285714297,1426.0474999999979
2020-06-02 17:00:00,2020,BUY,1744.725,1738.8010714285713,1738.8510714285712,1759.7221428571427,0.06,-37.763571428571794,1388.283928571426
2020-06-11 08:00:00,2020,BUY,1738.465,1728.4278571428572,1728.4778571428571,1764.4307142857142,0.03,-31.221428571428177,1357.062499999998
2020-06-22 06:00:00,2020,BUY,1758.185,1749.8460714285713,1749.8960714285713,1779.6221428571428,0.04,-34.83571428571438,1322.2267857142836
2020-06-25 01:00:00,2020,BUY,1765.455,1757.52,1757.57,1785.8149999999998,0.04,-33.21999999999978,1289.0067857142838
2020-07-01 17:00:00,2020,BUY,1771.335,1763.0507142857143,1763.1007142857143,1792.626428571429,0.04,-34.61714285714286,1254.3896428571409
2020-07-07 12:00:00,2020,BUY,1779.455,1774.4567857142856,1774.5067857142856,1791.9835714285714,0.06,-32.20928571428587,1222.180357142855
2020-07-27 06:00:00,2020,BUY,1919.895,1942.0664285714286,1911.3307142857143,1942.0664285714286,0.04,87.20571428571431,1309.3860714285693
2020-08-04 22:00:00,2020,BUY,1991.945,2014.465,1983.25,2014.465,0.04,88.59999999999992,1397.9860714285692
2020-08-06 17:00:00,2020,BUY,2066.675,2055.008214285714,2055.0582142857143,2096.986428571429,0.03,-36.11035714285832,1361.875714285711
2020-08-21 15:00:00,2020,SELL,1915.945,1928.325357142857,1928.275357142857,1883.7307142857142,0.03,-38.251071428571194,1323.6246428571399
2020-09-01 17:00:00,2020,BUY,1987.945,1977.7278571428571,1977.777857142857,2014.3907142857142,0.03,-31.761428571428368,1291.8632142857116
2020-09-08 17:00:00,2020,SELL,1915.995,1923.9910714285713,1923.9410714285714,1895.4721428571427,0.04,-33.46428571428576,1258.3989285714258
2020-09-15 17:00:00,2020,BUY,1958.585,1950.7678571428573,1950.8178571428573,1978.6307142857142,0.04,-32.74857142857079,1225.650357142855
2020-09-23 22:00:00,2020,SELL,1887.315,1860.4778571428571,1897.6289285714286,1860.4778571428571,0.03,79.40142857142872,1305.0517857142838
2020-10-06 19:00:00,2020,BUY,1908.055,1900.947142857143,1900.997142857143,1926.2092857142857,0.05,-37.389285714285144,1267.6624999999988
2020-10-28 14:00:00,2020,SELL,1899.805,1887.182142857143,1904.7885714285715,1887.182142857143,0.06,73.51714285714277,1341.1796428571415
2020-11-05 18:00:00,2020,BUY,1927.595,1948.9864285714284,1919.3232142857144,1948.9864285714284,0.04,84.08571428571351,1425.265357142855
2020-11-19 07:00:00,2020,SELL,1880.965,1861.9792857142857,1888.3346428571429,1861.9792857142857,0.05,93.07857142857134,1518.3439285714264
2020-12-21 11:00:00,2020,BUY,1896.765,1888.2482142857145,1888.2982142857145,1918.6764285714287,0.04,-35.54714285714224,1482.7967857142842
2021-01-04 15:00:00,2021,BUY,1916.715,1941.5292857142856,1907.1596428571427,1941.5292857142856,0.03,73.33285714285707,1073.3328571428572
2021-01-12 09:00:00,2021,SELL,1843.845,1861.6146428571428,1861.5646428571429,1797.2592857142856,0.02,-36.2792857142856,1037.0535714285716
2021-01-18 01:00:00,2021,SELL,1838.305,1817.6392857142857,1846.3046428571429,1817.6392857142857,0.03,60.88714285714299,1097.9407142857146
2021-02-04 15:00:00,2021,SELL,1826.805,1809.042142857143,1833.7160714285715,1809.042142857143,0.04,69.571428571428,1167.5121428571426
2021-02-17 01:00:00,2021,SELL,1807.305,1788.8564285714288,1814.4732142857142,1788.8564285714288,0.04,72.31428571428525,1239.8264285714279
2021-02-26 16:00:00,2021,SELL,1775.635,1746.6607142857142,1786.7503571428572,1746.6607142857142,0.03,85.81285714285731,1325.6392857142853
2021-03-05 16:00:00,2021,SELL,1690.925,1703.9942857142858,1703.9442857142858,1656.8735714285713,0.03,-40.31785714285739,1285.321428571428
2021-03-08 15:00:00,2021,SELL,1685.605,1695.3035714285713,1695.2535714285714,1660.5421428571428,0.03,-30.20571428571394,1255.1157142857141
2021-04-07 04:00:00,2021,BUY,1745.325,1738.7314285714288,1738.7814285714287,1762.107857142857,0.05,-34.817857142856475,1220.2978571428578
2021-05-04 08:00:00,2021,BUY,1794.365,1787.3053571428572,1787.3553571428572,1812.3907142857142,0.04,-29.71857142857105,1190.5792857142867
2021-05-20 21:00:00,2021,BUY,1882.645,1874.9510714285714,1875.0010714285713,1902.3621428571428,0.04,-32.255714285714454,1158.3235714285722
2021-05-27 15:00:00,2021,BUY,1898.045,1889.9867857142858,1890.0367857142858,1918.7335714285716,0.04,-33.712857142857025,1124.6107142857152
