id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars,entry_dt,entry_quarter,entry_year
1060,57080,2022-12-02 19:00:00,57121,2022-12-05 16:30:00,BUY,1795.72,1788.2296428571428,1788.2296428571428,1814.445892857143,0.1,-75.60357142857193,-749.0357142857192,-1.0,SL,2022Q4,2022,41,2022-12-02 19:00:00,2022Q4,2022
1061,57202,2022-12-07 11:00:00,57203,2022-12-07 11:30:00,BUY,1775.58,1771.8332142857143,1771.8332142857143,1784.946964285714,0.1,-38.167857142855794,-374.6785714285579,-1.0,SL,2022Q4,2022,1,2022-12-07 11:00:00,2022Q4,2022
1062,57214,2022-12-07 17:00:00,57215,2022-12-07 17:30:00,BUY,1783.33,1778.0435714285713,1778.0435714285713,1796.5460714285714,0.1,-53.56428571428587,-528.6428571428587,-1.0,SL,2022Q4,2022,1,2022-12-07 17:00:00,2022Q4,2022
1063,57221,2022-12-07 20:30:00,57302,2022-12-09 15:00:00,BUY,1785.45,1801.6928571428573,1778.9528571428573,1801.6928571428573,0.1,161.72857142857248,1624.2857142857247,2.462693060691807,TP,2022Q4,2022,81,2022-12-07 20:30:00,2022Q4,2022
1064,57309,2022-12-09 18:30:00,57317,2022-12-09 22:30:00,BUY,1802.66,1795.2821428571428,1795.2821428571428,1821.1046428571428,0.1,-74.47857142857238,-737.7857142857238,-1.0,SL,2022Q4,2022,8,2022-12-09 18:30:00,2022Q4,2022
1065,57390,2022-12-13 13:00:00,57395,2022-12-13 15:30:00,BUY,1787.47,1795.744107142857,1784.1603571428573,1795.744107142857,0.1,82.04107142857019,827.4107142857019,2.4275071330445206,TP,2022Q4,2022,5,2022-12-13 13:00:00,2022Q4,2022
1066,57396,2022-12-13 16:00:00,57439,2022-12-14 14:30:00,BUY,1811.13,1804.7014285714286,1804.7014285714286,1827.2014285714288,0.1,-64.98571428571559,-642.8571428571558,-1.0,SL,2022Q4,2022,43,2022-12-13 16:00:00,2022Q4,2022
1067,57441,2022-12-14 15:30:00,57452,2022-12-14 21:00:00,BUY,1808.66,1804.6089285714286,1804.6089285714286,1818.7876785714286,0.1,-41.21071428571504,-405.1071428571504,-1.0,SL,2022Q4,2022,11,2022-12-14 15:30:00,2022Q4,2022
1068,57529,2022-12-16 13:30:00,57558,2022-12-19 05:00:00,BUY,1784.4,1796.3812500000001,1779.6075,1796.3812500000001,0.1,119.11250000000045,1198.1250000000045,2.4496143958868895,TP,2022Q4,2022,29,2022-12-16 13:30:00,2022Q4,2022
1069,57605,2022-12-20 05:30:00,57606,2022-12-20 06:00:00,BUY,1792.55,1789.525357142857,1789.525357142857,1800.111607142857,0.1,-30.946428571429077,-302.4642857142908,-1.0,SL,2022Q4,2022,1,2022-12-20 05:30:00,2022Q4,2022
1070,57612,2022-12-20 09:00:00,57615,2022-12-20 10:30:00,BUY,1793.17,1805.0816071428571,1788.4053571428572,1805.0816071428571,0.1,118.41607142857065,1191.1607142857065,2.449324074758024,TP,2022Q4,2022,3,2022-12-20 09:00:00,2022Q4,2022
1071,57616,2022-12-20 11:00:00,57628,2022-12-20 17:00:00,BUY,1803.38,1818.1041071428572,1797.4903571428572,1818.1041071428572,0.1,146.54107142857066,1472.4107142857065,2.458890154012068,TP,2022Q4,2022,12,2022-12-20 11:00:00,2022Q4,2022
1072,57629,2022-12-20 17:30:00,57717,2022-12-22 15:30:00,BUY,1818.3,1811.0549999999998,1811.0549999999998,1836.4125000000001,0.1,-73.15000000000119,-724.5000000000118,-1.0,SL,2022Q4,2022,88,2022-12-20 17:30:00,2022Q4,2022
1073,57768,2022-12-23 18:00:00,57772,2022-12-23 20:00:00,BUY,1800.69,1796.0507142857143,1796.0507142857143,1812.2882142857145,0.1,-47.09285714285734,-463.9285714285734,-1.0,SL,2022Q4,2022,4,2022-12-23 18:00:00,2022Q4,2022
1074,57813,2022-12-27 17:30:00,57817,2022-12-27 19:30:00,BUY,1821.4,1816.4092857142857,1816.4092857142857,1833.876785714286,0.1,-50.60714285714376,-499.07142857143754,-1.0,SL,2022Q4,2022,4,2022-12-27 17:30:00,2022Q4,2022
1075,57902,2022-12-29 16:00:00,57934,2022-12-30 09:00:00,BUY,1810.41,1820.2189285714287,1806.4864285714286,1820.2189285714287,0.1,97.38928571428623,980.8928571428623,2.438651404042211,TP,2022Q4,2022,32,2022-12-29 16:00:00,2022Q4,2022
1076,57943,2022-12-30 13:30:00,57950,2022-12-30 17:00:00,BUY,1818.03,1814.655,1814.655,1826.4675,0.1,-34.45,-337.5,-1.0,SL,2022Q4,2022,7,2022-12-30 13:30:00,2022Q4,2022
1077,57955,2022-12-30 19:30:00,57971,2023-01-03 04:30:00,BUY,1820.13,1834.205892857143,1814.4996428571428,1834.205892857143,0.1,140.0589285714289,1407.589285714289,2.457020236827208,TP,2022Q4,2022,16,2022-12-30 19:30:00,2022Q4,2022
1078,58001,2023-01-03 19:30:00,58027,2023-01-04 09:30:00,BUY,1837.42,1858.0557142857144,1829.1657142857143,1858.0557142857144,0.1,205.65714285714358,2063.5714285714357,2.4705680453063326,TP,2023Q1,2023,26,2023-01-03 19:30:00,2023Q1,2023
1079,58028,2023-01-04 10:00:00,58037,2023-01-04 14:30:00,BUY,1858.41,1854.1725,1854.1725,1869.0037500000003,0.1,-43.07500000000182,-423.7500000000182,-1.0,SL,2023Q1,2023,9,2023-01-04 10:00:00,2023Q1,2023
1080,58127,2023-01-06 13:30:00,58128,2023-01-06 14:00:00,BUY,1839.84,1835.79,1835.79,1849.965,0.1,-41.19999999999955,-404.99999999999545,-1.0,SL,2023Q1,2023,1,2023-01-06 13:30:00,2023Q1,2023
1081,58132,2023-01-06 16:00:00,58132,2023-01-06 16:00:00,BUY,1851.89,1845.7635714285716,1845.7635714285716,1867.2060714285715,0.1,-61.964285714285054,-612.6428571428505,-1.0,SL,2023Q1,2023,0,2023-01-06 16:00:00,2023Q1,2023
