cohort,view,event_count,mean_signed_reversion_atr,median_signed_reversion_atr,positive_return_pct,p10_signed_reversion_atr,p90_signed_reversion_atr,worst5pct_mean_signed_reversion_atr,gap_closure_pct,median_cost_hurdle_atr,mean_to_median_cost_hurdle_ratio,quarter,positive_mean
H226-C2,QUARTER_2018Q2,21,0.3317963756930594,0.2667123729434777,66.66666666666666,-2.59092296136565,2.048710874085324,-4.116380250852572,85.71428571428571,0.20471490065111542,1.6207729610191988,2018Q2,True
H226-C2,QUARTER_2018Q3,30,-0.206893881440458,-0.18619570167744096,46.666666666666664,-2.920303723365321,1.7531203990426298,-4.4582260920519605,80.0,0.19347181975970085,-1.0693747631951147,2018Q3,False
H226-C2,QUARTER_2018Q4,30,-0.09887450872674784,0.001570585502573451,50.0,-2.48820396561856,2.1011270506131665,-3.634151905314191,76.66666666666667,0.20661897682986535,-0.4785354677666578,2018Q4,False
H226-C2,QUARTER_2019Q1,24,0.0831645556114865,0.47994997802090833,54.166666666666664,-2.166398040823683,2.533139300900686,-4.980584297534076,87.5,0.23009813420367237,0.36143081255006193,2019Q1,True
H226-C2,QUARTER_2019Q2,21,0.31073045026242385,0.0351770622436736,57.14285714285714,-2.557089133188418,3.2231444801166966,-2.9481166326184383,66.66666666666666,0.20960095124705766,1.4824858781111367,2019Q2,True
H226-C2,QUARTER_2019Q3,25,0.47401418671039935,0.6796076019412192,60.0,-2.1463447001590383,2.419126250846819,-3.4966996728820394,68.0,0.10700302120436253,4.429914047053783,2019Q3,True
H226-C2,QUARTER_2019Q4,17,-0.2685058670202433,-0.3136894752368315,47.05882352941176,-2.4961309394124562,1.2585934232497145,-4.3714043034520165,76.47058823529412,0.1717513951011189,-1.563340238733782,2019Q4,False
H226-C2,QUARTER_2020Q1,29,0.36045027933453033,0.1121048462606618,51.724137931034484,-1.752725016092544,2.9292135689349266,-3.91770214911321,58.620689655172406,0.12716294530729214,2.8345543465000285,2020Q1,True
H226-C2,QUARTER_2020Q2,19,0.1951511570254285,-0.0375102329260405,47.368421052631575,-1.4150382190987478,2.1451634563803808,-1.723480312669552,68.42105263157895,0.0631751291385765,3.089050385593336,2020Q2,True
H226-C2,QUARTER_2020Q3,22,0.08690869318616361,0.412887651453747,63.63636363636363,-2.5044941039169744,2.294456318725529,-5.5967323729865495,90.9090909090909,0.07330812149172522,1.1855261247687758,2020Q3,True
H226-C2,QUARTER_2020Q4,23,-0.30972966249968736,-0.1940395202403428,47.82608695652174,-2.7566547635728935,1.7339989051285984,-4.509610589731242,73.91304347826086,0.09379090194927545,-3.3023422961344076,2020Q4,False
H226-C2,QUARTER_2021Q1,15,0.21470351916588873,0.1731205583450171,53.333333333333336,-2.4996264801284758,2.780849394706501,-3.829726319333195,86.66666666666667,0.08096393710188461,2.6518413858222694,2021Q1,True
H226-C2,QUARTER_2021Q2,20,-0.22304585567541477,-0.5934518389846645,35.0,-2.4093830343555904,2.898542198322656,-4.369430492204487,80.0,0.12104933085851399,-1.8426029627220104,2021Q2,False
H226-C2,QUARTER_2021Q3,25,0.04492275346292729,0.2976612218494284,52.0,-2.487363932964074,2.6630907253945697,-3.516616017423463,84.0,0.12134829665157956,0.37019681942393823,2021Q3,True
H226-C2,QUARTER_2021Q4,21,0.6532502477982194,0.4210296459906369,66.66666666666666,-1.375726756773471,2.825846392942581,-2.6261004942400143,85.71428571428571,0.12764822812533672,5.117581790142817,2021Q4,True
H226-C2,QUARTER_2022Q1,21,0.7585590468456948,0.1568741364843249,61.904761904761905,-1.0385767180288703,2.845871967326936,-2.2865613263864772,66.66666666666666,0.09977338961457964,7.602819246454151,2022Q1,True
H226-C2,QUARTER_2022Q2,15,0.22255326484466137,-0.0385557680736296,46.666666666666664,-1.1163429760372598,2.012064191899396,-2.7892619279070443,80.0,0.09205784896092943,2.4175370960396427,2022Q2,True
