cohort,horizon,quarter,event_count,mean_signed_reversion_atr,positive_mean
H226-C4,4h,2019Q1,22,0.0456092360179458,True
H226-C4,4h,2019Q2,21,0.1644999684758463,True
H226-C4,4h,2019Q3,24,0.3057492178000551,True
H226-C4,4h,2019Q4,17,-0.019979490716789276,False
H226-C4,4h,2020Q1,27,-0.08538790127674088,False
H226-C4,4h,2020Q2,17,0.037665355196323025,True
H226-C4,4h,2020Q3,20,-0.2289959033499846,False
H226-C4,4h,2020Q4,20,-0.6510039776643908,False
H226-C4,4h,2021Q1,13,-0.03451530046670262,False
H226-C4,4h,2021Q2,17,0.11971970389854363,True
H226-C4,4h,2021Q3,21,-0.09866310100486986,False
H226-C4,4h,2021Q4,20,0.3745565682233196,True
H226-C4,4h,2022Q1,18,0.5774642700673335,True
H226-C4,4h,2022Q2,14,-0.05731473225569213,False
H226-C4,4h,2022Q3,16,-0.03262639444139853,False
H226-C4,4h,2022Q4,23,0.08818012220487724,True
H226-C4,4h,2023Q1,18,0.25130915654939623,True
H226-C4,4h,2023Q2,9,0.07978978950035279,True
H226-C4,4h,2023Q3,11,-0.009658617715922257,False
H226-C4,4h,2023Q4,22,0.32857923879587764,True
H226-C4,4h,2024Q1,14,0.2051710747961235,True
H226-C4,4h,2024Q2,16,-0.6124386331745016,False
H226-C4,4h,2024Q3,14,0.41298584640194297,True
H226-C4,4h,2024Q4,16,-0.6525526649985639,False
H226-C4,4h,2025Q1,13,0.826847413446841,True
H226-C4,4h,2025Q2,30,-0.0607282686215694,False
H226-C4,4h,2025Q3,19,0.29060380482731724,True
H226-C4,4h,2025Q4,20,-0.398405173153592,False
H226-C4,4h,2026Q1,21,-0.3693508914157773,False
H226-C4,4h,2026Q2,28,0.3334063194242663,True
