Trade_ID,Entry_Time,Date,Sub_Engine,Type,Entry_Price,Exit_Price,PnL_USD,Balance_USD
146,2024-04-05 19:00:00,2024-04-05,CP95_PinbarKeltnerBuy,BUY,2327.16,2317.09,-13.74,1704.13
147,2024-07-03 18:00:00,2024-07-03,CP95_PinbarKeltnerBuy,BUY,2362.95,2356.48,-13.63,1690.5
148,2024-07-05 15:00:00,2024-07-05,CP95_PinbarKeltnerBuy,BUY,2371.98,2382.88,28.32,1718.82
149,2024-07-05 15:00:00,2024-07-05,CP95_Donchian5Buy,BUY,2371.98,2382.39,27.49,1746.31
150,2024-07-05 15:00:00,2024-07-05,CP95_Donchian7Buy,BUY,2371.98,2382.49,28.2,1774.51
151,2024-07-05 15:00:00,2024-07-05,CP95_Donchian10Buy,BUY,2371.98,2382.64,29.06,1803.56
152,2024-07-05 15:00:00,2024-07-05,CP95_Donchian12Buy,BUY,2371.98,2382.79,29.94,1833.51
153,2024-07-05 15:00:00,2024-07-05,CP95_Donchian15Buy,BUY,2371.98,2382.88,30.72,1864.23
154,2024-07-05 15:00:00,2024-07-05,CP95_Donchian20Buy,BUY,2371.98,2383.38,29.82,1894.04
155,2024-07-05 15:00:00,2024-07-05,CP95_Donchian3Buy,BUY,2371.98,2382.39,30.29,1924.34
156,2024-07-11 16:00:00,2024-07-11,CP95_PinbarKeltnerBuy,BUY,2406.54,2420.88,32.62,1956.95
157,2024-07-17 11:00:00,2024-07-17,CP95_Donchian5Buy,BUY,2474.84,2467.75,-15.66,1941.3
158,2024-07-17 11:00:00,2024-07-17,CP95_Donchian3Buy,BUY,2474.84,2467.75,-15.53,1925.77
159,2024-08-16 16:00:00,2024-08-16,CP95_PinbarKeltnerBuy,BUY,2494.31,2487.12,-15.41,1910.36
160,2024-08-16 16:00:00,2024-08-16,CP95_Donchian5Buy,BUY,2494.31,2487.12,-15.28,1895.08
161,2024-08-16 16:00:00,2024-08-16,CP95_Donchian7Buy,BUY,2494.31,2487.12,-15.16,1879.92
162,2024-08-16 16:00:00,2024-08-16,CP95_Donchian10Buy,BUY,2494.31,2487.12,-15.04,1864.88
163,2024-08-16 16:00:00,2024-08-16,CP95_Donchian12Buy,BUY,2494.31,2487.12,-14.92,1849.96
164,2024-08-16 16:00:00,2024-08-16,CP95_Donchian15Buy,BUY,2494.31,2487.12,-14.8,1835.16
165,2024-08-16 16:00:00,2024-08-16,CP95_Donchian20Buy,BUY,2494.31,2486.43,-14.68,1820.48
166,2024-08-16 16:00:00,2024-08-16,CP95_Donchian3Buy,BUY,2494.31,2487.12,-14.56,1805.92
167,2024-08-23 19:00:00,2024-08-23,CP95_PinbarKeltnerBuy,BUY,2510.19,2524.44,30.6,1836.52
168,2024-08-29 18:00:00,2024-08-29,CP95_Donchian3Buy,BUY,2522.48,2515.84,-14.69,1821.83
169,2024-09-12 21:00:00,2024-09-12,CP95_Donchian20Buy,BUY,2555.81,2575.49,29.69,1851.51
170,2024-09-13 04:00:00,2024-09-13,CP95_PinbarKeltnerBuy,BUY,2563.09,2581.88,31.66,1883.17
171,2024-09-13 04:00:00,2024-09-13,CP95_Donchian5Buy,BUY,2563.09,2581.03,30.74,1913.91
172,2024-09-13 04:00:00,2024-09-13,CP95_Donchian7Buy,BUY,2563.09,2581.2,31.54,1945.45
173,2024-09-13 04:00:00,2024-09-13,CP95_Donchian10Buy,BUY,2563.09,2581.46,32.51,1977.96
174,2024-09-13 04:00:00,2024-09-13,CP95_Donchian12Buy,BUY,2563.09,2581.71,33.51,2011.47
175,2024-09-13 04:00:00,2024-09-13,CP95_Donchian15Buy,BUY,2563.09,2581.88,34.4,2045.87
176,2024-09-13 04:00:00,2024-09-13,CP95_Donchian20Buy,BUY,2563.09,2582.74,33.33,2079.2
177,2024-09-13 04:00:00,2024-09-13,CP95_Donchian3Buy,BUY,2563.09,2581.03,33.94,2113.14
178,2024-09-13 19:00:00,2024-09-13,CP95_PinbarKeltnerBuy,BUY,2584.18,2577.74,-16.91,2096.23
179,2024-09-13 19:00:00,2024-09-13,CP95_Donchian5Buy,BUY,2584.18,2577.74,-16.77,2079.46
180,2024-09-13 19:00:00,2024-09-13,CP95_Donchian7Buy,BUY,2584.18,2577.74,-16.64,2062.83
181,2024-09-13 19:00:00,2024-09-13,CP95_Donchian10Buy,BUY,2584.18,2577.74,-16.5,2046.33
182,2024-09-13 19:00:00,2024-09-13,CP95_Donchian12Buy,BUY,2584.18,2577.74,-16.37,2029.95
183,2024-09-13 19:00:00,2024-09-13,CP95_Donchian15Buy,BUY,2584.18,2577.74,-16.24,2013.71
184,2024-09-13 19:00:00,2024-09-13,CP95_Donchian20Buy,BUY,2584.18,2577.13,-16.11,1997.61
185,2024-09-13 19:00:00,2024-09-13,CP95_Donchian3Buy,BUY,2584.18,2577.74,-15.98,1981.62
186,2024-10-16 05:00:00,2024-10-16,CP95_Donchian5Buy,BUY,2667.92,2680.63,31.97,2013.6
187,2024-10-16 05:00:00,2024-10-16,CP95_Donchian7Buy,BUY,2667.92,2680.75,32.8,2046.39
188,2024-10-16 05:00:00,2024-10-16,CP95_Donchian3Buy,BUY,2667.92,2680.63,33.02,2079.41
