n,mean_bps,median_bps,win_rate_pct,std_bps,skew,p01_bps,p05_bps,p10_bps,p25_bps,p50_bps,p75_bps,p90_bps,p95_bps,p99_bps,adverse_es_5_bps,favorable_es_5_bps,factor,factor_value,events_total,exact_horizon_events,gap_contaminated_pct,mean_mfe_bps,mean_mae_bps
67643,-0.022215319122147716,0.11133811716099942,51.04297562201558,6.275936551993212,-1.2556958672248444,-19.075557148406606,-9.152268252814403,-5.927319892366181,-2.4440800557782265,0.11133811716099942,2.706136658151857,5.964294606334247,8.614303787254334,16.313034806260287,-15.812047959352512,13.670570666801071,path_efficiency_quartile,Q4,67908,67643,0.42115803734463775,3.822538243387222,4.070095121943839
67592,0.056401037623982644,0.042235186403553636,50.07989111137413,5.5256130851764595,0.09425192926491748,-15.203168336442394,-7.883681082754714,-5.364204224689084,-2.349773589692991,0.042235186403553636,2.482540566002514,5.473356917008213,8.031809473175374,15.327146449483397,-12.919127109753237,12.959154628047234,stretch_abs_quartile,Q1,67908,67592,0.5242386758555706,3.542354741203633,3.5591789336436284
67596,0.015488811426368407,0.08328371036670859,50.834368897567906,5.549479476327753,-0.5219166719470637,-16.375574237279064,-8.228271938273604,-5.504037550518203,-2.316080822816738,0.08328371036670859,2.4933515887693067,5.516395519834702,8.050940949056319,15.087890565056398,-13.647817891549517,12.565955498159447,stretch_abs_quartile,Q2,67908,67596,0.5095128703540119,3.5199901819050785,3.6586474433024763
67628,0.03834193202045465,0.11594135857987313,51.17702726681256,5.719134284037591,-0.6154957336834638,-17.002147485377154,-8.387300737837645,-5.558285379143489,-2.3234991880218354,0.11594135857987313,2.602950737947568,5.671674874405586,8.180552515021141,14.997096763306585,-14.06589807522547,12.749912999293379,stretch_abs_quartile,Q3,67907,67628,0.4358902616814153,3.6243716906528998,3.783423532169613
67603,0.0078104361683780585,0.1884339256429447,51.76101652293538,6.848201052443671,-1.1956561085196455,-21.147997365574746,-9.830323979979976,-6.398639776089898,-2.546444424495497,0.1884339256429447,2.9468617213465467,6.399273284107808,9.337122580709254,17.54278407151917,-17.35394628933936,14.868411003708633,stretch_abs_quartile,Q4,67908,67603,0.47564351770041924,4.122553827827771,4.43571064383017
125707,0.020071977407532887,0.05492785226599859,50.36394154661236,4.322009512454273,-0.523442357496611,-12.129515237352571,-6.3068233017513435,-4.30518536637369,-1.8870328176916937,0.05492785226599859,2.03792272277397,4.3612015036728025,6.234194851964664,11.475713880953668,-10.345685579353091,9.680803348001687,volatility_state,0-49,126886,125707,1.0048389893290044,2.763687555147332,2.836605079767526
72793,0.07598509908590532,0.15690458632091547,51.42802192518512,5.737851217478859,-0.5163782873056824,-16.226819660833893,-8.51715988588669,-5.874621467925818,-2.5655777214554387,0.15690458632091547,2.871686560043218,5.9892792609187175,8.486674503986519,14.984284012749223,-13.759213051916365,12.763087616357,volatility_state,50-79,72821,72793,0.04668982848353709,3.791011807938671,3.9116911968190893
44080,0.016747680654939978,0.21903316069831594,51.558529945553545,7.315936334588142,-0.6333090641934717,-21.439505913422373,-11.21469914279132,-7.506733802119554,-3.2286793492296586,0.21903316069831594,3.5350848470322846,7.457644921926689,10.59780870635688,18.853992752812875,-18.05440971807689,16.10029044613727,volatility_state,80-94,44084,44080,0.018147173577720555,4.797901542108921,5.062260057140442
27839,-0.029181055992370183,0.22725335908850733,51.51047092208771,9.330817764975913,-0.6710883327309619,-27.445499908061333,-13.963791898134717,-9.44362591816252,-3.977488732428258,0.22725335908850733,4.3174050026662005,9.178503427562466,13.10685395840254,23.17105879750993,-23.12711116389369,20.35059842072087,volatility_state,95-100,27840,27839,0.014367816091953589,5.97150009534759,6.432335971066464
67703,0.041442196911847806,0.11554015020209017,51.1099951257699,6.029399945092953,-1.0709287484843368,-17.75841713688061,-8.77934830219816,-5.83382269557011,-2.442719161567135,0.11554015020209017,2.7245162777245993,5.894698940071779,8.611607493689126,16.2875666234767,-14.745015900572591,13.517127292175017,sweep_depth_atr_quartile,Q1,67908,67703,0.3210225599340255,3.7963238141400426,3.911946090251173
