time,open,high,low,close,tick_volume,spread,real_volume,datetime_str
1560319200,1332.12,1333.57,1332.08,1332.33,1095,24,0,2019-06-12 06:00:00
1560322800,1332.33,1332.39,1331.75,1332.26,730,24,0,2019-06-12 07:00:00
1560326400,1332.26,1335.12,1331.85,1335.0,1494,24,0,2019-06-12 08:00:00
1560330000,1335.0,1337.07,1334.3,1334.87,2197,24,0,2019-06-12 09:00:00
1560333600,1334.87,1337.73,1334.67,1337.26,1548,24,0,2019-06-12 10:00:00
1560337200,1337.24,1338.31,1336.44,1337.55,1872,24,0,2019-06-12 11:00:00
1560340800,1337.55,1337.75,1335.63,1336.16,1601,24,0,2019-06-12 12:00:00
1560344400,1336.16,1336.27,1334.48,1334.88,1778,24,0,2019-06-12 13:00:00
1560348000,1334.88,1336.11,1334.25,1334.93,1547,24,0,2019-06-12 14:00:00
1560351600,1334.93,1336.06,1332.13,1334.03,4137,23,0,2019-06-12 15:00:00
1560355200,1334.03,1334.34,1329.78,1332.31,3978,24,0,2019-06-12 16:00:00
1560358800,1332.31,1334.57,1332.11,1334.02,3294,24,0,2019-06-12 17:00:00
1560362400,1333.99,1335.63,1333.42,1335.32,2134,24,0,2019-06-12 18:00:00
1560366000,1335.32,1336.98,1332.31,1332.42,2316,24,0,2019-06-12 19:00:00
1560369600,1332.42,1333.33,1331.64,1333.08,2263,24,0,2019-06-12 20:00:00
1560373200,1333.08,1333.48,1331.81,1332.63,1311,24,0,2019-06-12 21:00:00
1560376800,1332.63,1333.01,1332.12,1332.89,820,24,0,2019-06-12 22:00:00
1560380400,1332.89,1333.41,1332.64,1333.36,327,24,0,2019-06-12 23:00:00
1560387600,1333.11,1334.01,1332.73,1332.81,464,25,0,2019-06-13 01:00:00
1560391200,1332.81,1333.57,1332.58,1333.51,300,23,0,2019-06-13 02:00:00
1560394800,1333.51,1334.83,1333.06,1333.83,1009,23,0,2019-06-13 03:00:00
1560398400,1333.83,1335.93,1332.33,1335.9,1794,24,0,2019-06-13 04:00:00
1560402000,1335.9,1337.65,1335.9,1336.64,1710,24,0,2019-06-13 05:00:00
1560405600,1336.64,1336.64,1334.05,1334.14,1491,24,0,2019-06-13 06:00:00
1560409200,1334.14,1334.88,1334.0,1334.66,747,24,0,2019-06-13 07:00:00
1560412800,1334.66,1336.56,1334.66,1335.8,1193,24,0,2019-06-13 08:00:00
1560416400,1335.75,1337.76,1335.42,1337.71,2272,24,0,2019-06-13 09:00:00
1560420000,1337.74,1338.22,1335.96,1336.87,2382,24,0,2019-06-13 10:00:00
1560423600,1336.87,1338.94,1336.5,1336.62,2166,24,0,2019-06-13 11:00:00
1560427200,1336.62,1337.16,1334.85,1337.04,1520,23,0,2019-06-13 12:00:00
1560430800,1337.04,1337.24,1335.67,1336.23,989,24,0,2019-06-13 13:00:00
1560434400,1336.23,1337.34,1335.89,1337.09,1075,24,0,2019-06-13 14:00:00
1560438000,1337.09,1337.19,1334.43,1335.38,2320,24,0,2019-06-13 15:00:00
1560441600,1335.38,1336.66,1333.66,1336.14,2583,24,0,2019-06-13 16:00:00
1560445200,1336.06,1338.4,1335.03,1336.73,2728,24,0,2019-06-13 17:00:00
1560448800,1336.73,1340.36,1336.53,1339.01,2363,24,0,2019-06-13 18:00:00
1560452400,1339.01,1340.7,1338.7,1339.41,1422,24,0,2019-06-13 19:00:00
1560456000,1339.36,1341.57,1339.31,1341.18,1437,24,0,2019-06-13 20:00:00
1560459600,1341.18,1343.03,1340.68,1341.28,1567,23,0,2019-06-13 21:00:00
1560463200,1341.28,1342.09,1340.36,1341.18,770,23,0,2019-06-13 22:00:00
1560466800,1341.14,1342.51,1341.06,1341.83,490,23,0,2019-06-13 23:00:00
1560474000,1341.65,1344.21,1341.47,1343.6,727,23,0,2019-06-14 01:00:00
