time,datetime_str,open,high,low,close,tick_volume,spread,real_volume
1713873600,2024-04-23 12:00:00,2303.19,2303.36,2296.04,2297.15,2762,27,0
1713874500,2024-04-23 12:15:00,2297.19,2298.24,2291.21,2295.37,3275,27,0
1713875400,2024-04-23 12:30:00,2295.34,2299.55,2295.05,2298.8,2190,27,0
1713876300,2024-04-23 12:45:00,2298.7,2298.97,2293.67,2295.57,2150,27,0
1713877200,2024-04-23 13:00:00,2295.57,2299.77,2295.33,2298.84,2041,27,0
1713878100,2024-04-23 13:15:00,2298.75,2300.62,2298.41,2299.42,1541,27,0
1713879000,2024-04-23 13:30:00,2299.45,2303.48,2297.91,2302.89,2066,27,0
1713879900,2024-04-23 13:45:00,2302.88,2306.01,2302.29,2303.14,2171,27,0
1713880800,2024-04-23 14:00:00,2303.15,2303.15,2299.64,2300.16,2364,27,0
1713881700,2024-04-23 14:15:00,2300.19,2302.85,2299.94,2301.35,2744,27,0
1713882600,2024-04-23 14:30:00,2301.35,2302.5,2300.6,2301.84,1656,27,0
1713883500,2024-04-23 14:45:00,2301.8,2302.92,2300.34,2302.05,2056,27,0
1713884400,2024-04-23 15:00:00,2302.07,2308.64,2301.14,2305.39,3327,27,0
1713885300,2024-04-23 15:15:00,2305.4,2310.24,2305.08,2308.16,2900,27,0
1713886200,2024-04-23 15:30:00,2308.19,2313.48,2305.06,2311.53,3732,27,0
1713887100,2024-04-23 15:45:00,2311.53,2312.02,2308.27,2311.74,3130,27,0
1713888000,2024-04-23 16:00:00,2311.77,2313.76,2309.39,2312.96,4086,27,0
1713888900,2024-04-23 16:15:00,2312.96,2316.75,2310.45,2311.7,2893,27,0
1713889800,2024-04-23 16:30:00,2311.71,2319.69,2310.52,2316.65,4928,27,0
1713890700,2024-04-23 16:45:00,2316.45,2330.64,2316.45,2329.27,6304,27,0
1713891600,2024-04-23 17:00:00,2329.26,2332.05,2324.47,2324.87,6131,27,0
1713892500,2024-04-23 17:15:00,2324.85,2326.75,2320.92,2322.04,4913,27,0
1713893400,2024-04-23 17:30:00,2322.03,2323.45,2315.67,2318.88,4780,27,0
1713894300,2024-04-23 17:45:00,2318.68,2321.63,2314.45,2320.35,4752,27,0
1713895200,2024-04-23 18:00:00,2320.37,2321.27,2315.15,2319.24,4079,27,0
1713896100,2024-04-23 18:15:00,2319.29,2324.43,2318.57,2322.94,3548,27,0
1713897000,2024-04-23 18:30:00,2322.95,2323.36,2319.8,2319.88,2560,27,0
1713897900,2024-04-23 18:45:00,2319.9,2323.13,2319.03,2323.12,2630,27,0
1713898800,2024-04-23 19:00:00,2323.19,2326.16,2321.62,2325.91,2402,27,0
1713899700,2024-04-23 19:15:00,2325.93,2327.0,2324.0,2326.64,2433,27,0
1713900600,2024-04-23 19:30:00,2326.64,2330.21,2325.17,2330.08,2112,27,0
1713901500,2024-04-23 19:45:00,2330.13,2330.99,2328.42,2330.21,1959,27,0
1713902400,2024-04-23 20:00:00,2330.19,2331.27,2327.7,2327.9,2654,27,0
1713903300,2024-04-23 20:15:00,2327.94,2329.61,2327.12,2328.46,2113,27,0
1713904200,2024-04-23 20:30:00,2328.47,2328.47,2324.97,2326.58,1659,27,0
1713905100,2024-04-23 20:45:00,2326.55,2327.55,2325.52,2326.23,1146,27,0
1713906000,2024-04-23 21:00:00,2326.27,2329.63,2326.25,2327.91,1143,27,0
1713906900,2024-04-23 21:15:00,2327.9,2328.95,2326.4,2327.08,1036,27,0
1713907800,2024-04-23 21:30:00,2327.04,2327.18,2324.75,2325.47,1283,27,0
1713908700,2024-04-23 21:45:00,2325.51,2326.35,2323.48,2324.11,1369,27,0
1713909600,2024-04-23 22:00:00,2324.11,2324.97,2322.49,2323.93,1126,27,0
1713910500,2024-04-23 22:15:00,2323.89,2324.65,2323.45,2323.55,684,27,0
1713911400,2024-04-23 22:30:00,2323.52,2323.62,2321.15,2322.39,862,27,0
1713912300,2024-04-23 22:45:00,2322.41,2323.7,2321.54,2322.2,1119,27,0
1713913200,2024-04-23 23:00:00,2322.23,2323.21,2321.87,2322.31,547,28,0
1713914100,2024-04-23 23:15:00,2322.39,2322.72,2322.03,2322.34,346,27,0
1713915000,2024-04-23 23:30:00,2322.28,2322.93,2322.21,2322.33,234,27,0
1713915900,2024-04-23 23:45:00,2322.33,2322.81,2321.3,2321.98,390,27,0
1713920400,2024-04-24 01:00:00,2322.02,2322.24,2321.27,2321.4,265,29,0
1713921300,2024-04-24 01:15:00,2321.39,2322.53,2321.28,2322.31,289,37,0
1713922200,2024-04-24 01:30:00,2322.25,2322.81,2321.21,2322.47,577,36,0
1713923100,2024-04-24 01:45:00,2322.37,2322.94,2321.62,2321.67,206,34,0
1713924000,2024-04-24 02:00:00,2321.73,2323.11,2321.73,2322.99,318,36,0
1713924900,2024-04-24 02:15:00,2322.83,2323.93,2322.68,2323.68,407,29,0
1713925800,2024-04-24 02:30:00,2323.69,2324.2,2322.18,2323.68,635,27,0
1713926700,2024-04-24 02:45:00,2323.75,2324.08,2323.15,2323.15,435,33,0
1713927600,2024-04-24 03:00:00,2323.23,2323.44,2321.63,2322.31,1039,27,0
1713928500,2024-04-24 03:15:00,2322.32,2323.44,2321.82,2322.48,881,27,0
1713929400,2024-04-24 03:30:00,2322.55,2322.96,2320.64,2321.75,821,27,0
1713930300,2024-04-24 03:45:00,2321.74,2322.24,2320.76,2320.86,794,28,0
1713931200,2024-04-24 04:00:00,2320.85,2321.78,2316.07,2320.17,2394,27,0
1713932100,2024-04-24 04:15:00,2320.17,2323.0,2320.08,2321.27,1569,29,0
1713933000,2024-04-24 04:30:00,2321.16,2321.63,2317.52,2319.06,2339,27,0
1713933900,2024-04-24 04:45:00,2319.06,2319.67,2316.93,2318.18,1909,27,0
1713934800,2024-04-24 05:00:00,2318.18,2320.81,2315.64,2319.42,2298,27,0
1713935700,2024-04-24 05:15:00,2319.47,2320.43,2318.67,2318.7,912,30,0
1713936600,2024-04-24 05:30:00,2318.7,2319.49,2316.66,2318.86,1773,28,0
1713937500,2024-04-24 05:45:00,2318.85,2322.05,2318.46,2321.49,1637,27,0
1713938400,2024-04-24 06:00:00,2321.49,2323.59,2320.72,2323.52,1409,27,0
1713939300,2024-04-24 06:15:00,2323.52,2326.84,2322.44,2324.78,2348,27,0
1713940200,2024-04-24 06:30:00,2324.83,2325.71,2323.8,2325.03,954,27,0
1713941100,2024-04-24 06:45:00,2325.07,2328.05,2324.97,2327.8,966,27,0
1713942000,2024-04-24 07:00:00,2327.76,2329.96,2326.49,2326.76,1038,27,0
1713942900,2024-04-24 07:15:00,2326.77,2328.21,2326.51,2327.36,720,27,0
1713943800,2024-04-24 07:30:00,2327.34,2328.57,2326.77,2327.83,532,27,0
1713944700,2024-04-24 07:45:00,2327.83,2327.9,2325.03,2326.54,1088,27,0
1713945600,2024-04-24 08:00:00,2326.54,2326.71,2324.39,2325.19,889,27,0
1713946500,2024-04-24 08:15:00,2325.01,2326.95,2324.56,2326.74,794,27,0
1713947400,2024-04-24 08:30:00,2326.76,2329.7,2326.24,2327.85,1872,27,0
1713948300,2024-04-24 08:45:00,2327.84,2329.26,2327.03,2328.76,1329,27,0
1713949200,2024-04-24 09:00:00,2328.7,2331.14,2326.52,2327.6,2581,27,0
1713950100,2024-04-24 09:15:00,2327.66,2328.92,2325.53,2325.99,1683,27,0
1713951000,2024-04-24 09:30:00,2325.99,2326.94,2324.12,2326.02,2066,27,0
1713951900,2024-04-24 09:45:00,2326.08,2326.8,2324.65,2326.72,1569,27,0
1713952800,2024-04-24 10:00:00,2326.72,2326.72,2322.11,2323.56,1935,27,0
1713953700,2024-04-24 10:15:00,2323.54,2324.27,2321.93,2321.94,1684,27,0
1713954600,2024-04-24 10:30:00,2321.95,2323.96,2321.11,2321.14,1461,27,0
1713955500,2024-04-24 10:45:00,2321.14,2322.13,2320.53,2320.58,1468,27,0
1713956400,2024-04-24 11:00:00,2320.57,2321.82,2317.48,2317.54,1750,27,0
1713957300,2024-04-24 11:15:00,2317.54,2318.88,2316.25,2318.73,1819,27,0
1713958200,2024-04-24 11:30:00,2318.75,2319.1,2316.19,2316.6,1320,27,0
1713959100,2024-04-24 11:45:00,2316.61,2319.41,2316.0,2319.07,1393,27,0
1713960000,2024-04-24 12:00:00,2318.71,2319.21,2317.45,2317.46,1068,27,0
1713960900,2024-04-24 12:15:00,2317.47,2317.48,2312.16,2312.81,2211,27,0
1713961800,2024-04-24 12:30:00,2312.77,2315.08,2311.63,2314.32,2051,27,0
1713962700,2024-04-24 12:45:00,2314.32,2316.2,2314.01,2314.89,1256,27,0
1713963600,2024-04-24 13:00:00,2314.9,2317.78,2314.22,2317.32,1167,27,0
1713964500,2024-04-24 13:15:00,2317.27,2318.4,2316.93,2316.93,985,27,0
1713965400,2024-04-24 13:30:00,2316.93,2317.53,2315.13,2315.21,1089,27,0
1713966300,2024-04-24 13:45:00,2315.21,2317.01,2314.51,2316.66,996,27,0
1713967200,2024-04-24 14:00:00,2316.66,2316.66,2314.24,2314.7,1160,27,0
1713968100,2024-04-24 14:15:00,2314.65,2316.48,2313.05,2315.43,1282,27,0
1713969000,2024-04-24 14:30:00,2315.46,2316.58,2314.85,2316.36,993,27,0
1713969900,2024-04-24 14:45:00,2316.46,2316.94,2314.74,2316.06,1322,27,0
1713970800,2024-04-24 15:00:00,2316.09,2316.74,2311.99,2313.28,1982,27,0
1713971700,2024-04-24 15:15:00,2313.44,2315.55,2312.08,2315.14,2708,27,0
1713972600,2024-04-24 15:30:00,2315.14,2322.84,2314.25,2320.32,3908,27,0
1713973500,2024-04-24 15:45:00,2320.39,2323.42,2318.61,2323.19,2808,27,0
1713974400,2024-04-24 16:00:00,2323.2,2325.65,2320.29,2322.53,3480,27,0
1713975300,2024-04-24 16:15:00,2322.7,2322.88,2317.22,2320.05,3063,27,0
1713976200,2024-04-24 16:30:00,2320.03,2325.92,2319.49,2321.98,4916,27,0
1713977100,2024-04-24 16:45:00,2321.98,2323.14,2315.93,2321.17,4099,27,0
1713978000,2024-04-24 17:00:00,2321.25,2321.48,2317.17,2317.5,3486,27,0
1713978900,2024-04-24 17:15:00,2317.5,2322.52,2316.73,2321.92,3021,27,0
1713979800,2024-04-24 17:30:00,2321.88,2326.91,2321.06,2325.34,4010,27,0
1713980700,2024-04-24 17:45:00,2325.45,2330.27,2324.4,2329.54,3563,27,0
1713981600,2024-04-24 18:00:00,2329.57,2337.18,2329.57,2331.06,4520,27,0
1713982500,2024-04-24 18:15:00,2331.21,2333.54,2329.97,2331.12,3217,27,0
1713983400,2024-04-24 18:30:00,2331.23,2331.31,2323.94,2324.8,3299,27,0
1713984300,2024-04-24 18:45:00,2324.79,2327.76,2322.49,2322.52,2543,27,0
1713985200,2024-04-24 19:00:00,2322.52,2324.65,2321.72,2323.32,2915,27,0
1713986100,2024-04-24 19:15:00,2323.34,2325.45,2322.79,2323.29,2414,27,0
1713987000,2024-04-24 19:30:00,2323.23,2326.36,2322.27,2325.73,2195,27,0
1713987900,2024-04-24 19:45:00,2325.7,2325.96,2324.16,2325.04,2171,27,0
1713988800,2024-04-24 20:00:00,2324.91,2328.66,2324.28,2328.58,2700,27,0
1713989700,2024-04-24 20:15:00,2328.58,2330.39,2323.71,2324.15,2480,27,0
1713990600,2024-04-24 20:30:00,2324.16,2325.67,2321.69,2323.2,2059,27,0
1713991500,2024-04-24 20:45:00,2323.2,2325.12,2321.82,2324.32,1543,27,0
1713992400,2024-04-24 21:00:00,2324.37,2324.62,2322.3,2322.5,1243,27,0
1713993300,2024-04-24 21:15:00,2322.48,2323.78,2321.19,2321.47,1711,27,0
1713994200,2024-04-24 21:30:00,2321.48,2321.76,2318.5,2319.56,1692,27,0
1713995100,2024-04-24 21:45:00,2319.59,2320.9,2319.49,2320.4,915,27,0
1713996000,2024-04-24 22:00:00,2320.43,2322.12,2319.53,2321.96,1073,27,0
1713996900,2024-04-24 22:15:00,2321.96,2322.33,2320.85,2321.9,975,27,0
1713997800,2024-04-24 22:30:00,2321.88,2322.26,2319.34,2319.36,1219,27,0
1713998700,2024-04-24 22:45:00,2319.38,2319.55,2317.65,2318.87,1610,27,0
1713999600,2024-04-24 23:00:00,2318.91,2319.55,2317.57,2318.49,733,30,0
1714000500,2024-04-24 23:15:00,2318.47,2318.47,2315.41,2315.97,666,32,0
1714001400,2024-04-24 23:30:00,2315.96,2315.96,2314.08,2314.96,760,27,0
1714002300,2024-04-24 23:45:00,2315.01,2315.9,2313.57,2315.82,599,28,0
1714006800,2024-04-25 01:00:00,2315.48,2318.37,2314.87,2317.39,486,27,0
1714007700,2024-04-25 01:15:00,2317.42,2318.11,2317.17,2317.44,271,35,0
1714008600,2024-04-25 01:30:00,2317.45,2317.53,2316.55,2317.1,243,31,0
1714009500,2024-04-25 01:45:00,2317.08,2317.91,2316.46,2317.84,316,37,0
1714010400,2024-04-25 02:00:00,2317.84,2318.14,2317.22,2317.22,287,35,0
1714011300,2024-04-25 02:15:00,2317.2,2318.11,2315.66,2315.88,657,27,0
1714012200,2024-04-25 02:30:00,2315.88,2316.9,2315.32,2315.73,480,31,0
1714013100,2024-04-25 02:45:00,2315.73,2317.15,2315.67,2316.11,817,27,0
1714014000,2024-04-25 03:00:00,2316.12,2317.59,2315.3,2316.88,758,27,0
1714014900,2024-04-25 03:15:00,2316.88,2318.41,2316.47,2317.01,874,27,0
1714015800,2024-04-25 03:30:00,2317.04,2319.1,2317.04,2318.84,799,27,0
1714016700,2024-04-25 03:45:00,2318.84,2319.3,2318.13,2319.08,852,29,0
1714017600,2024-04-25 04:00:00,2319.08,2319.37,2315.89,2316.01,1621,27,0
1714018500,2024-04-25 04:15:00,2315.96,2319.24,2315.87,2318.99,1451,28,0
1714019400,2024-04-25 04:30:00,2318.98,2320.59,2317.46,2319.49,1581,27,0
1714020300,2024-04-25 04:45:00,2319.49,2320.07,2318.11,2319.08,1848,28,0
1714021200,2024-04-25 05:00:00,2319.07,2320.7,2318.76,2319.14,1152,27,0
1714022100,2024-04-25 05:15:00,2319.21,2320.34,2318.91,2320.12,547,27,0
1714023000,2024-04-25 05:30:00,2320.22,2322.0,2319.8,2321.41,1415,27,0
1714023900,2024-04-25 05:45:00,2321.41,2321.55,2319.49,2319.76,740,27,0
1714024800,2024-04-25 06:00:00,2319.67,2320.57,2304.89,2306.68,1880,27,0
1714025700,2024-04-25 06:15:00,2306.7,2310.9,2306.64,2310.09,2966,30,0
1714026600,2024-04-25 06:30:00,2310.09,2311.03,2308.53,2310.93,1017,31,0
1714027500,2024-04-25 06:45:00,2310.94,2314.34,2310.81,2313.12,1155,30,0
1714028400,2024-04-25 07:00:00,2313.12,2314.64,2313.12,2314.05,694,30,0
1714029300,2024-04-25 07:15:00,2314.05,2314.19,2312.27,2312.53,540,31,0
1714030200,2024-04-25 07:30:00,2312.54,2314.46,2312.27,2314.3,436,27,0
1714031100,2024-04-25 07:45:00,2314.3,2315.77,2313.96,2315.19,757,29,0
1714032000,2024-04-25 08:00:00,2315.2,2318.01,2314.32,2316.53,1025,27,0
1714032900,2024-04-25 08:15:00,2316.54,2317.85,2316.12,2316.68,847,27,0
1714033800,2024-04-25 08:30:00,2316.68,2318.6,2316.34,2317.36,1654,27,0
1714034700,2024-04-25 08:45:00,2317.34,2320.69,2317.26,2319.52,1392,27,0
1714035600,2024-04-25 09:00:00,2319.43,2319.89,2318.05,2319.68,1232,27,0
1714036500,2024-04-25 09:15:00,2319.69,2320.36,2317.69,2319.38,1371,27,0
1714037400,2024-04-25 09:30:00,2319.38,2321.11,2317.67,2320.32,2142,27,0
1714038300,2024-04-25 09:45:00,2320.33,2323.42,2319.4,2322.63,2414,27,0
1714039200,2024-04-25 10:00:00,2322.58,2323.04,2320.28,2320.7,1438,27,0
1714040100,2024-04-25 10:15:00,2320.71,2322.49,2320.13,2322.02,969,27,0
1714041000,2024-04-25 10:30:00,2321.99,2322.92,2321.39,2322.67,981,27,0
1714041900,2024-04-25 10:45:00,2322.62,2326.02,2322.4,2325.5,1374,27,0
1714042800,2024-04-25 11:00:00,2325.5,2328.77,2324.87,2326.14,2084,27,0
1714043700,2024-04-25 11:15:00,2326.13,2326.43,2324.82,2324.94,1034,27,0
1714044600,2024-04-25 11:30:00,2324.92,2328.05,2324.82,2327.85,1880,27,0
1714045500,2024-04-25 11:45:00,2327.83,2327.96,2325.24,2326.8,1561,27,0
1714046400,2024-04-25 12:00:00,2326.8,2327.53,2325.95,2326.03,954,27,0
1714047300,2024-04-25 12:15:00,2326.02,2326.62,2324.28,2325.66,1284,27,0
1714048200,2024-04-25 12:30:00,2325.77,2326.39,2324.6,2326.35,1401,27,0
1714049100,2024-04-25 12:45:00,2326.29,2326.36,2324.05,2324.85,1072,27,0
1714050000,2024-04-25 13:00:00,2324.85,2325.81,2324.17,2325.14,1017,27,0
1714050900,2024-04-25 13:15:00,2325.14,2327.06,2324.85,2327.04,1449,27,0
1714051800,2024-04-25 13:30:00,2327.06,2327.2,2325.13,2325.44,1089,27,0
1714052700,2024-04-25 13:45:00,2325.44,2328.6,2325.14,2328.07,991,27,0
1714053600,2024-04-25 14:00:00,2328.06,2329.29,2327.12,2328.77,1345,27,0
1714054500,2024-04-25 14:15:00,2328.77,2330.22,2326.87,2326.92,1262,27,0
1714055400,2024-04-25 14:30:00,2326.92,2330.53,2326.55,2330.44,1306,27,0
1714056300,2024-04-25 14:45:00,2330.4,2330.48,2328.11,2328.4,1261,27,0
1714057200,2024-04-25 15:00:00,2328.41,2330.06,2326.41,2327.31,1901,27,0
1714058100,2024-04-25 15:15:00,2327.32,2327.36,2324.49,2326.34,2676,27,0
1714059000,2024-04-25 15:30:00,2326.34,2331.78,2323.07,2329.47,6408,27,0
1714059900,2024-04-25 15:45:00,2329.52,2334.59,2326.85,2330.59,5893,27,0
1714060800,2024-04-25 16:00:00,2330.69,2331.09,2319.22,2319.55,5981,27,0
1714061700,2024-04-25 16:15:00,2319.71,2320.03,2312.59,2316.52,5873,27,0
1714062600,2024-04-25 16:30:00,2316.57,2324.91,2315.44,2324.23,6562,27,0
1714063500,2024-04-25 16:45:00,2324.31,2324.31,2316.34,2318.8,5273,27,0
1714064400,2024-04-25 17:00:00,2318.96,2322.41,2316.9,2320.99,4813,27,0
1714065300,2024-04-25 17:15:00,2321.01,2326.29,2320.73,2324.84,4492,27,0
1714066200,2024-04-25 17:30:00,2324.86,2344.73,2324.53,2340.7,6197,27,0
1714067100,2024-04-25 17:45:00,2340.76,2342.98,2332.34,2333.8,5164,27,0
1714068000,2024-04-25 18:00:00,2333.7,2336.62,2329.28,2333.93,4172,27,0
1714068900,2024-04-25 18:15:00,2333.93,2334.66,2327.08,2332.43,3781,27,0
1714069800,2024-04-25 18:30:00,2332.45,2334.86,2329.71,2330.14,3270,27,0
1714070700,2024-04-25 18:45:00,2330.14,2331.18,2328.2,2330.3,2915,27,0
1714071600,2024-04-25 19:00:00,2330.32,2332.36,2328.46,2330.23,2612,27,0
1714072500,2024-04-25 19:15:00,2330.23,2330.25,2322.88,2327.44,2721,27,0
1714073400,2024-04-25 19:30:00,2327.43,2330.67,2325.82,2330.09,1934,28,0
1714074300,2024-04-25 19:45:00,2330.09,2330.8,2327.9,2328.62,1875,27,0
1714075200,2024-04-25 20:00:00,2328.69,2329.38,2326.13,2327.51,2038,27,0
1714076100,2024-04-25 20:15:00,2327.52,2331.06,2327.52,2329.94,2241,27,0
1714077000,2024-04-25 20:30:00,2330.0,2331.58,2328.64,2330.55,1693,27,0
1714077900,2024-04-25 20:45:00,2330.59,2332.16,2330.09,2332.1,1747,28,0
1714078800,2024-04-25 21:00:00,2332.13,2334.95,2331.5,2333.02,1777,27,0
1714079700,2024-04-25 21:15:00,2332.98,2333.22,2330.92,2331.01,1514,29,0
1714080600,2024-04-25 21:30:00,2331.03,2333.33,2330.54,2333.06,1492,27,0
1714081500,2024-04-25 21:45:00,2332.9,2333.58,2332.3,2332.98,1148,27,0
1714082400,2024-04-25 22:00:00,2332.85,2333.95,2332.17,2332.39,1079,27,0
1714083300,2024-04-25 22:15:00,2332.45,2335.93,2332.45,2335.26,1139,27,0
